question;response
0;J'ai perdu mon badge; Merci de contacter dsi@cirilgroup.com dans les plus brefs délais
1;Modifier mon mot de passe; Vous pouvez modifier votre mot de passe sur mail.ciril.net (Options > Modifier le mot de passe)
2;Adresse du proc-fic03; Vous pouvez accèder au prod-fic03 à l'adresse : \\prod-fic03.ciril.lan
3;Adresse SX; Vous pouvez accéder à SX à l'adresse : sx.cirilgroup.com
4;Adresse Webmail; Vous pouvez accéder à SX à l'adresse : mail.ciril.net
5;Adresse du VPN; L'adresse de vos VPN sont : vpn-vlb2.ciril.net et vpn-vlb3.ciril.net
6;Localisation/Adresse du site de Villeurbanne; 49 Avenue Albert Einstein 69100 Villeurbanne
7;Localisation/Adresse du site de Paris; 37 Ledru Rollin 75012 Paris
8;prod-fic03 Adresse prod-fic03; serveur de fichier
9;Connexion au Wifi Ciril GROUP;Pour vos connecter au Wifi Ciril GROUP vous devez utiliser vos identifiants Ciril GROUP. En cas d'erreur, contacter dsi@cirilgroup.com
10;badge perdu;Merci de contacter dsi@cirilgroup.com dans les plus bref délais !
11;Utiliser Tixeo;Pour utiliser Tixeo, vous devez avoir reçu une invitation.
12;RocketChat, Adresse Rocketchat; Rocketchat est un outil de messagerie instantanée, vous pouvez vous connecter avec vos identifiants Ciril GROUP à l'adresse : https://im.ciril.net/home
13;Drive-in,Adresse Drive-in, Partage de fichier; Pour partager des fichiers, vous pouvez utiliser notre outil drive-in : https://drive-in.synaaps.com/ . Drive-In peut être utilisé avec des personnes extérieures à Ciril GROUP.
14;Durée retention Drive-in, durée des fichiers;La durée de rétention des fichiers sur Drive-In est de 90 jours pour les adresses externes et 6 mois pour les adresses internet (@cirilgroup …). Les fichiers sont automatiquement supprimé en cas de dépassement.
15;Taille des boites mails, quota mail ; Les boites mails sont limitées à 2Go, en cas de dépassement votre boite sera automatiquement bloquée. Pensez à archiver !
16;Numéro de téléphone Ciril Group, Téléphone Villeurbanne, Numéro standard; Le numéro du standard est le suivant : 0472691680
17;Licence Office; Merci de vous rapprocher de dsi@cirilgroup.com pour obtenir la licence Office
18;Installer Office; L'installateur d'Office est disponible ici : \\prod-fic03\CirilGROUP\SrvGeneraux&DSI\Public\Technique\Install_PC\Office\Office













